name,category,classification,item_type,unit_of_measure,is_trackable,description,condition,quantity,serial_number,expiration_date
Cutting disc Super Thin,items_tools,consumable,tools,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Cutting disc Super Thin (High Speed),items_tools,consumable,tools,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Cutting disc Super Thin (Mason),items_tools,consumable,tools,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
DL 12 035 3w RT,items_tools,consumable,tools,unit,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Drill Bit 1/4,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Drill Bit 3/16,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Drill Bit 3/32,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Drill Bit 5/16,items_tools,consumable,tools,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Duct Tape (Alum),items_tools,consumable,tools,roll,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Dyna Bolt 1/2,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Dyna Bolt 1/4,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Dyna Bolt 3/8,items_tools,consumable,disposables,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
E-14 Socket,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Elbow BI 1/2,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
Elbow BI 1,pm_set_electrical,consumable,electronics,pc,false,Imported from INVENTORY LIST (DIGITIZED). Catalog-only digitized reference row.,good,0,,
